year,temperature
1880,-0.2
1881,-0.1
1882,-0.1
1883,-0.2
1884,-0.3
1885,-0.3
1886,-0.2
1887,-0.3
1888,-0.2
1889,-0.1
1890,-0.4
1891,-0.3
1892,-0.3
1893,-0.4
1894,-0.4
1895,-0.3
1896,-0.2
1897,-0.1
1898,-0.3
1899,-0.2
1900,-0.1
1901,-0.2
1902,-0.3
1903,-0.3
1904,-0.4
1905,-0.3
1906,-0.2
1907,-0.4
1908,-0.4
1909,-0.4
1910,-0.4
1911,-0.4
1912,-0.3
1913,-0.3
1914,-0.1
1915,0.0
1916,-0.4
1917,-0.4
1918,-0.2
1919,-0.2
1920,-0.3
1921,-0.1
1922,-0.3
1923,-0.2
1924,-0.3
1925,-0.1
1926,-0.1
1927,-0.2
1928,-0.2
1929,-0.3
1930,-0.1
1931,-0.1
1932,-0.2
1933,-0.3
1934,-0.1
1935,-0.2
1936,-0.1
1937,0.0
1938,0.0
1939,-0.1
1940,0.0
1941,0.1
1942,0.1
1943,0.0
1944,0.1
1945,0.0
1946,-0.1
1947,-0.1
1948,-0.2
1949,-0.1
1950,-0.2
1951,-0.1
1952,-0.1
1953,0.0
1954,-0.1
1955,-0.2
1956,-0.2
1957,0.0
1958,0.0
1959,0.0
1960,-0.1
1961,0.0
1962,0.0
1963,0.0
1964,-0.2
1965,-0.1
1966,-0.1
1967,-0.1
1968,-0.1
1969,0.0
1970,0.0
1971,-0.1
1972,0.0
1973,0.1
1974,-0.1
1975,-0.1
1976,-0.1
1977,0.1
1978,0.0
1979,0.0
1980,0.1
1981,0.2
1982,0.1
1983,0.2
1984,0.1
1985,0.0
1986,0.1
1987,0.2
1988,0.2
1989,0.1
1990,0.3
1991,0.3
1992,0.2
1993,0.2
1994,0.3
1995,0.3
1996,0.2
1997,0.3
1998,0.4
1999,0.3
2000,0.3
2001,0.4
2002,0.5
2003,0.5
2004,0.4
2005,0.5
2006,0.5
2007,0.5
2008,0.4
2009,0.5
2010,0.6
2011,0.5
2012,0.5
2013,0.6
2014,0.7
2015,0.8
2016,0.9
2017,0.9
2018,0.8
2019,0.9
2020,1.0
